LOG_SEQ_NO,EVENT_INFORMATION,SEVERITY,PROCESS_NAME
2092898863,"{""Exception"": {""Exception Type"": ""System.NullReferenceException"", ""Message"": ""Object reference not set to an instance of an object"", ""StackTrace"": ""at ClaimGeneration.ClaimProcessor.ProcessClaim(String claimId) in ClaimProcessor.cs:line 234"", ""InnerException"": null}}",HIGH,ClaimGeneration
2092898864,"{""Exception"": {""Exception Type"": ""System.Data.SqlClient.SqlException"", ""Message"": ""Cannot insert duplicate key row in object 'dbo.Claims' with unique index 'IX_Claims_ClaimNumber'"", ""StackTrace"": ""at ClaimGeneration.DataAccess.ClaimRepository.SaveClaim(Claim claim) in ClaimRepository.cs:line 89"", ""InnerException"": {""Exception Type"": ""System.Data.ConstraintException"", ""Message"": ""Constraint violation on ClaimNumber""}}}",CRITICAL,ClaimGeneration
2092898865,"{""Exception"": {""Exception Type"": ""System.TimeoutException"", ""Message"": ""The operation has timed out after 30000ms"", ""StackTrace"": ""at ClaimPricing.Services.PricingEngine.CalculatePrice(Claim claim) in PricingEngine.cs:line 156"", ""InnerException"": null}}",HIGH,ClaimPricing
2092898866,"{""Exception"": {""Exception Type"": ""System.InvalidOperationException"", ""Message"": ""Sequence contains no elements"", ""StackTrace"": ""at ClaimGeneration.Validation.ClaimValidator.ValidateLineItems(List lineItems) in ClaimValidator.cs:line 78"", ""InnerException"": null}}",MEDIUM,ClaimGeneration
2092898867,"{""Exception"": {""Exception Type"": ""Oracle.ManagedDataAccess.Client.OracleException"", ""Message"": ""ORA-00001: unique constraint (CLAIMS.PK_CLAIM_ID) violated"", ""StackTrace"": ""at ClaimGeneration.Repository.OracleClaimStore.Insert(ClaimEntity entity) in OracleClaimStore.cs:line 45"", ""InnerException"": {""Exception Type"": ""System.Data.OracleClient.OracleException"", ""Message"": ""ORA-00001"", ""Code"": ""ORA-00001""}}}",CRITICAL,ClaimGeneration
2092898868,"{""Exception"": {""Exception Type"": ""System.Net.Http.HttpRequestException"", ""Message"": ""No connection could be made because the target machine actively refused it"", ""StackTrace"": ""at ClaimPricing.ExternalServices.ReferenceDataClient.GetReferenceData(String code) in ReferenceDataClient.cs:line 112"", ""InnerException"": {""Exception Type"": ""System.Net.Sockets.SocketException"", ""Message"": ""Connection refused""}}}",HIGH,ClaimPricing
2092898869,"{""Exception"": {""Exception Type"": ""System.ArgumentException"", ""Message"": ""Value cannot be null or empty. Parameter name: claimNumber"", ""StackTrace"": ""at ClaimGeneration.Services.ClaimService.GetClaimByNumber(String claimNumber) in ClaimService.cs:line 67"", ""InnerException"": null}}",MEDIUM,ClaimGeneration
2092898870,"{""Exception"": {""Exception Type"": ""System.FormatException"", ""Message"": ""Input string was not in a correct format"", ""StackTrace"": ""at ClaimPricing.Parsers.AmountParser.ParseAmount(String amountStr) in AmountParser.cs:line 23"", ""InnerException"": null}}",MEDIUM,ClaimPricing
2092898871,"{""Exception"": {""Exception Type"": ""System.IO.FileNotFoundException"", ""Message"": ""Could not find file 'C:\\Temp\\ClaimAttachments\\DOC_12345.pdf'"", ""StackTrace"": ""at ClaimGeneration.Attachments.AttachmentHandler.LoadAttachment(String path) in AttachmentHandler.cs:line 89"", ""InnerException"": null}}",LOW,ClaimGeneration
2092898872,"{""Exception"": {""Exception Type"": ""System.OutOfMemoryException"", ""Message"": ""Exception of type 'System.OutOfMemoryException' was thrown"", ""StackTrace"": ""at ClaimPricing.BatchProcessing.BulkPricingJob.ProcessBatch(List claims) in BulkPricingJob.cs:line 234"", ""InnerException"": null}}",CRITICAL,ClaimPricing
