Exception_Type,Resolution,Root_Cause,Action,EVENT_INFORMATION
System.NullReferenceException,INVESTIGATE,"Object reference is null due to uninitialized variable or missing null check","Add null validation before accessing object properties","{""Exception"": {""Exception Type"": ""System.NullReferenceException"", ""Message"": ""Object reference not set to an instance of an object""}}"
System.Data.SqlClient.SqlException,REPROCESS,"Database constraint violation - duplicate key detected","Implement upsert logic or check for existing record before insert","{""Exception"": {""Exception Type"": ""System.Data.SqlClient.SqlException"", ""Message"": ""Cannot insert duplicate key row""}}"
System.TimeoutException,REPROCESS,"Operation exceeded timeout threshold - typically network or database latency","Increase timeout value or optimize slow query. Check network connectivity.","{""Exception"": {""Exception Type"": ""System.TimeoutException"", ""Message"": ""The operation has timed out""}}"
System.InvalidOperationException,INVESTIGATE,"Empty sequence accessed with First() or Single() - missing data validation","Use FirstOrDefault() with null check or validate collection before access","{""Exception"": {""Exception Type"": ""System.InvalidOperationException"", ""Message"": ""Sequence contains no elements""}}"
Oracle.ManagedDataAccess.Client.OracleException,REPROCESS,"Oracle unique constraint violation - duplicate primary key","Verify data uniqueness before insert or use MERGE statement","{""Exception"": {""Exception Type"": ""Oracle.ManagedDataAccess.Client.OracleException"", ""Message"": ""ORA-00001: unique constraint violated""}}"
System.Net.Http.HttpRequestException,REPROCESS,"External service unavailable or network connectivity issue","Retry with exponential backoff. Check service health and network.","{""Exception"": {""Exception Type"": ""System.Net.Http.HttpRequestException"", ""Message"": ""Connection refused""}}"
System.ArgumentException,PURGE,"Invalid input parameter - caller provided null or empty value","This is a caller error. Fix calling code to validate parameters.","{""Exception"": {""Exception Type"": ""System.ArgumentException"", ""Message"": ""Value cannot be null or empty""}}"
System.FormatException,PURGE,"Invalid data format - string could not be parsed","Validate input format before parsing. Add data cleansing step.","{""Exception"": {""Exception Type"": ""System.FormatException"", ""Message"": ""Input string was not in a correct format""}}"
System.IO.FileNotFoundException,INVESTIGATE,"File does not exist at expected path - check file availability","Verify file exists before access. Implement retry or alternative source.","{""Exception"": {""Exception Type"": ""System.IO.FileNotFoundException"", ""Message"": ""Could not find file""}}"
System.OutOfMemoryException,INVESTIGATE,"Application exceeded available memory - memory leak or large data set","Reduce batch size, implement pagination, or increase memory allocation","{""Exception"": {""Exception Type"": ""System.OutOfMemoryException"", ""Message"": ""Exception of type OutOfMemoryException was thrown""}}"
